
"Regelnummer","Farnell Ordercode","Hoeveelheid","Productomschrijving","Fabrikantnaam & -nummer","RoHS","Catalogusprijs","Beschikbaarheid","Regelprijs","Regelaantekening"

1,"2215224","2","IC MCU, 32BIT, 1MB FLASH, 100LQFP","STMICROELECTRONICS - STM32F405VGT6","YES ","11.46","Op voorraad","22.92",""
2,"1842268","2","XTAL, 8.000MHZ, 18PF, HC-49S","TXC - 9B-8.000MAAJ-B","YES ","0.4","Op voorraad","0.8",""

3,"1578370","2","IC, LDO, 3.3V, 150MA, SOT-23-5","MICROCHIP - MCP1801T-3302I/OT","YES ","0.32","Op voorraad","0.64",""
4,"2099236","4","LED, RED, 15MCD, 625NM, 0805","KINGBRIGHT - KPT-2012EC","YES ","0.087","Op voorraad","0.35",""

5,"2099239","4","LED, 0805, GREEN, 12MCD, 568NM","KINGBRIGHT - KPT-2012SGC","YES ","0.087","Op voorraad","0.35",""
6,"1431155","10","DIODE, ZENER, 3.3V, 3W","ON SEMICONDUCTOR - 1SMB5913BT3G","YES ","0.4","Niet op voorraad","4.0",""

7,"8737568","15","DIODE, TVS, 330W, SOD-523","NXP - PESD3V3S1UB","YES ","0.11","Op voorraad","1.65",""
8,"1653016","5","RESISTOR, 0805, 510R, 1%","VISHAY DRALORIC - CRCW0805510RFKEA","Y-EX ","0.082","Op voorraad","0.41",""

9,"1759416","10","CAP, MLCC, X5R, 2.2UF, 10V, 0805","MULTICOMP - MC0805X225K100CT","YES ","0.054","Op voorraad","0.54",""
10,"2331778","10","RESISTOR, POWER, 68R, 0.33W, 5%, 0805","TE CONNECTIVITY - CRGH0805J68R","YES ","0.014","Op voorraad","0.14",""
11,"1652909","6","THICK FILM CHIP RESISTOR","VISHAY DRALORIC - CRCW080510K0FKTA","NO ","0.013","Op voorraad","0.08",""
12,"2332762","10","CAP, MLCC, C0G/NP0, 20PF, 50V, 0805","AVX - 08055A200JAT2A","YES ","0.146","Op voorraad","1.46",""
13,"2320857","30","CAP, MLCC, X7R, 1UF, 10V, 0805","MULTICOMP - MC0805B105K100CT","YES ","0.024","Op voorraad","0.72",""

14,"2332063","10","RESISTOR, POWER, 220R, 0.33W, 1%, 0805","TE CONNECTIVITY - CRGH0805F220R","YES ","0.022","Op voorraad","0.22",""
15,"1759166","10","CAP, MLCC, X7R, 100NF, 25V, 0805","MULTICOMP - MC0805B104K250CT","YES ","0.013","Op voorraad","0.13",""

16,"2309112","4","RESISTOR, THICK FILM, 0R, 0.125W, 1%","MULTICOMP - MC0805S8F0000T5E","YES ","0.014","Op voorraad","0.06",""
17,"1759246","20","CAP, MLCC, X7R, 10NF, 50V, 0805","MULTICOMP - MC0805B103K500CT","YES ","0.014","Op voorraad","0.28",""

18,"2362105","10","CAP, MLCC, X5R, 10UF, 6.3V, 0805","MURATA - GRM21BR60J106KE01L","YES ","0.0605","Op voorraad","0.6",""
19,"2331777","10","RESISTOR, POWER, 56R, 0.33W, 5%, 0805","TE CONNECTIVITY - CRGH0805J56R","YES ","0.014","Op voorraad","0.14",""

"","","","","","","","",""
"","","","","","","","Subtotaal:","35.49"
"","","","","","","","Promotiecode Korting:","0.0"
"","","","","","","","Totale kosten:","Onbekend"
"","","","","","","","Subtotaal:","35.49"
"","","","","","","","BTW:","7.45"
"","","","","","","","Totaal:","42.940000000000005"
